release,family,measure,level,groups,input_supp_rate,groups_with_supp_inputs,clean,exact_share,mean_err,mean_abs_err,max_abs_err,p95_rel_err,max_rel_err
2025-05,incidence,DELIRIUM_12M,ICB,84,0.0,0,84,0.143,0.25,1.73,10.0,0.0095,0.0163
2025-05,incidence,DEMENTIA_REGISTER,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,incidence,INCIDENCE,ICB,546,0.0,0,546,0.178,-0.04,1.7,9.0,0.0256,0.053
2025-05,incidence,PAT_LIST_ALL,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,incidence,YOUNG_ONSET,ICB,546,0.0,0,546,0.17,0.03,1.68,10.0,0.0059,0.0079
2025-05,incidence,DELIRIUM_12M,REGION,14,0.0,0,14,0.214,1.5,3.36,8.0,0.0022,0.0024
2025-05,incidence,DEMENTIA_REGISTER,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,incidence,INCIDENCE,REGION,91,0.0,0,91,0.088,-0.23,3.81,13.0,0.0093,0.0121
2025-05,incidence,PAT_LIST_ALL,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,incidence,YOUNG_ONSET,REGION,91,0.0,0,91,0.066,0.2,4.57,22.0,0.0024,0.0037
2025-05,incidence,DELIRIUM_12M,COUNTRY,2,0.0,0,2,0.0,10.5,10.5,15.0,0.0007,0.0007
2025-05,incidence,DEMENTIA_REGISTER,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,incidence,INCIDENCE,COUNTRY,13,0.0,0,13,0.0,-1.62,9.92,23.0,0.003,0.0032
2025-05,incidence,PAT_LIST_ALL,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,incidence,YOUNG_ONSET,COUNTRY,13,0.0,0,13,0.077,1.38,10.46,27.0,0.0008,0.0008
2025-05,comor_pall,COMORBIDITIES,ICB,546,0.0,0,546,0.203,0.03,1.59,9.0,0.0005,0.001
2025-05,comor_pall,DEMENTIA_REGISTER_65_PLUS,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,comor_pall,PALLIATIVE_CARE,ICB,546,0.0,0,546,0.158,-0.14,1.64,8.0,0.0027,0.0056
2025-05,comor_pall,COMORBIDITIES,REGION,91,0.0,0,91,0.121,0.15,4.2,20.0,0.0002,0.0004
2025-05,comor_pall,DEMENTIA_REGISTER_65_PLUS,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,comor_pall,PALLIATIVE_CARE,REGION,91,0.0,0,91,0.11,-0.81,3.65,14.0,0.0008,0.0012
2025-05,comor_pall,COMORBIDITIES,COUNTRY,13,0.0,0,13,0.0,1.08,12.46,22.0,0.0001,0.0001
2025-05,comor_pall,DEMENTIA_REGISTER_65_PLUS,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,comor_pall,PALLIATIVE_CARE,COUNTRY,13,0.0,0,13,0.077,-5.69,11.08,30.0,0.0003,0.0003
2025-05,cog_imp,MCI (all age/sex cells),ICB,11088,0.02,384,10704,0.858,0.04,0.74,10.0,0.0256,0.25
2025-05,cog_imp,MCI (all age/sex cells),REGION,1848,0.02,260,1588,0.079,0.12,3.95,19.0,0.0119,0.0497
2025-05,cog_imp,MCI (all age/sex cells),COUNTRY,264,0.02,93,171,0.023,0.9,10.96,41.0,0.0028,0.0053
2025-05,nhs_rate,DEMENTIA_ESTIMATE_65_PLUS,ICB,546,0.0,0,546,0.797,-0.0,0.02,0.2000000000007276,0.0,0.0
2025-05,nhs_rate,DEMENTIA_REGISTER_65_PLUS,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,nhs_rate,DEMENTIA_ESTIMATE_65_PLUS,REGION,91,0.0,0,91,0.385,-0.03,0.08,0.3000000000029104,0.0,0.0
2025-05,nhs_rate,DEMENTIA_REGISTER_65_PLUS,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2025-05,nhs_rate,DEMENTIA_ESTIMATE_65_PLUS,COUNTRY,13,0.0,0,13,0.077,-0.18,0.22,0.7000000000698492,0.0,0.0
2025-05,nhs_rate,DEMENTIA_REGISTER_65_PLUS,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,incidence,DELIRIUM_12M,ICB,504,0.0,0,504,0.143,-0.01,1.76,11.0,0.0107,0.0163
2026-03,incidence,DEMENTIA_REGISTER,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,incidence,INCIDENCE,ICB,546,0.0,0,546,0.17,-0.02,1.64,10.0,0.0265,0.053
2026-03,incidence,PAT_LIST_ALL,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,incidence,YOUNG_ONSET,ICB,546,0.0,0,546,0.196,-0.11,1.66,11.0,0.0061,0.0092
2026-03,incidence,DELIRIUM_12M,REGION,84,0.0,0,84,0.107,-0.07,4.33,12.0,0.0031,0.0049
2026-03,incidence,DEMENTIA_REGISTER,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,incidence,INCIDENCE,REGION,91,0.0,0,91,0.077,-0.13,4.22,12.0,0.0096,0.0134
2026-03,incidence,PAT_LIST_ALL,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,incidence,YOUNG_ONSET,REGION,91,0.0,0,91,0.055,-0.64,4.92,14.0,0.0023,0.0027
2026-03,incidence,DELIRIUM_12M,COUNTRY,12,0.0,0,12,0.0,-0.5,12.0,36.0,0.0016,0.0017
2026-03,incidence,DEMENTIA_REGISTER,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,incidence,INCIDENCE,COUNTRY,13,0.0,0,13,0.0,-0.92,10.92,26.0,0.0027,0.0036
2026-03,incidence,PAT_LIST_ALL,COUNTRY,13,0.0,0,13,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,incidence,YOUNG_ONSET,COUNTRY,13,0.0,0,13,0.0,-4.46,10.0,21.0,0.0005,0.0006
2026-03,comor_pall,COMORBIDITIES,ICB,546,0.0,0,546,0.212,0.13,1.65,10.0,0.0005,0.0008
2026-03,comor_pall,DEMENTIA_REGISTER_65_PLUS,ICB,546,0.0,0,546,1.0,0.0,0.0,0.0,0.0,0.0
2026-03,comor_pall,PALLIATIVE_CARE,ICB,546,0.0,0,546,0.179,0.03,1.6,9.0,0.0026,0.0053
2026-03,comor_pall,COMORBIDITIES,REGION,91,0.0,0,91,0.11,0.8,3.79,16.0,0.0002,0.0003
2026-03,comor_pall,DEMENTIA_REGISTER_65_PLUS,REGION,91,0.0,0,91,1.0,0.0,0.0,0.0,0.0,0.0
